,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month, funded_quarter ,funded_year, raised_amount_usd ,Unnamed: 16
51782,/organization/ophthotech,Ophthotech,|Health Care|Biotechnology|,Health Care,USA,NJ,Newark,Princeton,/funding-round/8bbdceb61f1aaee5213602470c008137,venture,B,2009-12-15,2009-12, 2009-Q4 ,2009.0," 30,000,000 ",
14665,/organization/cityfibre,CityFibre,|Telecommunications|,Telecommunications,GBR,,London,London,/funding-round/1c7fc0b2c8da7e7e01d570cfb88f3f44,post_ipo_equity,,2014-06-10,2014-06, 2014-Q2 ,2014.0," 50,360,919 ",
28514,/organization/general-compression,General Compression,|Clean Technology|,Clean Technology,USA,MA,Boston,Newton,/funding-round/9bd9908dc1e46e242eb3f2598b2095e2,venture,B,2011-06-02,2011-06, 2011-Q2 ,2011.0," 20,390,000 ",
31006,/organization/gutcheck,GutCheck,|Customer Service|Market Research|Software|,Customer Service,USA,CO,Denver,Denver,/funding-round/ca0cbe8c7054603b9d708043dec5b106,venture,B,2014-01-28,2014-01, 2014-Q1 ,2014.0," 4,000,000 ",
32702,/organization/hosting-com,HOSTING,|Web Hosting|,Web Hosting,USA,CO,Denver,Denver,/funding-round/efa8bc1b39798c7dffe64bb3dc4af8c4,undisclosed,,2008-11-07,2008-11, 2008-Q4 ,2008.0," 2,000,000 ",
73764,/organization/titan-medical,Titan Medical,|Health and Wellness|,Health and Wellness,CAN,ON,Toronto,Toronto,/funding-round/8f9f0c4dc7e71cba8789b8323840b1fd,post_ipo_equity,,2011-12-15,2011-12, 2011-Q4 ,2011.0," 7,564,000 ",
30317,/organization/green-biologics,Green Biologics,|Biotechnology|,Biotechnology,GBR,,London,Abingdon,/funding-round/1bc91ec79bf61534c5ad644c1382bcf2,venture,B,2010-07-30,2010-07, 2010-Q3 ,2010.0," 6,100,000 ",
67724,/organization/southwest-petroleum-energy-fund,Southwest Petroleum & Energy Fund,,,,,,,/funding-round/b68298f66a2591f468e3335ebd50fbde,private_equity,,2014-05-14,2014-05, 2014-Q2 ,2014.0," 23,500,000 ",
78713,/organization/visual-edge-technology,Visual Edge Technology,|Hardware + Software|,Hardware + Software,USA,CT,CT - Other,North Canton,/funding-round/607ff3b6e3f857adce744b0d6b9f5ef1,debt_financing,,2005-09-12,2005-09, 2005-Q3 ,2005.0," 18,500,000 ",
57609,/organization/puddle,Puddle,|E-Commerce|,E-Commerce,,,,,/funding-round/59ca265009f092a34f24649ddbb82336,seed,,2013-11-01,2013-11, 2013-Q4 ,2013.0,,
51719,/organization/opensky,OpenSky,|E-Commerce|Social Commerce|,E-Commerce,USA,NY,New York City,New York,/funding-round/00c3bf598353c6d5ae1ce7fd50958d1b,venture,B,2011-01-03,2011-01, 2011-Q1 ,2011.0," 300,000 ",
81100,/organization/womenalia-com,Womenalia.com,|Social Media|,Social Media,ESP,,Madrid,Madrid,/funding-round/481c897409fc78baa2c604844e653c98,venture,,2013-04-30,2013-04, 2013-Q2 ,2013.0," 1,307,200 ",
40068,/organization/learnvest,LearnVest,|Financial Services|Finance|,Financial Services,USA,NY,New York City,New York,/funding-round/d1cd66ca912178516c3da9b4e8a58cbc,venture,B,2011-07-12,2011-07, 2011-Q3 ,2011.0," 19,000,000 ",
7032,/organization/avito-ru,Avito.ru,|Advertising|,Advertising,,,,,/funding-round/5a142e02f7afd0495cb43d304c431e33,venture,D,2013-03-11,2013-03, 2013-Q1 ,2013.0," 50,000,000 ",
51104,/organization/onair3g,OnAir3G,|Social Media|,Social Media,,,,,/funding-round/6b370ddee54d520a8ff3eeb80d1e9481,venture,,2010-11-24,2010-11, 2010-Q4 ,2010.0," 2,000,000 ",
52575,/organization/owlparrot,Owlparrot,|Mobile|,Mobile,USA,CA,Sacramento,Sacramento,/funding-round/2d21c39b1db04bd3410f0f78addae79d,seed,,2009-10-04,2009-10, 2009-Q4 ,2009.0," 100,000 ",
75387,/organization/trustgo,TrustGo,|Security|,Security,USA,CA,SF Bay Area,Santa Clara,/funding-round/9dd7bc27c7786c978204a513b64a4b5c,seed,,2012-07-31,2012-07, 2012-Q3 ,2012.0,,
22580,/organization/eka-software-solutions,Eka Software Solutions,|Storage|Logistics|Trading|Supply Chain Management|Analytics|Software|,Logistics,IND,,Bangalore,Bangalore,/funding-round/7b4c0d627c52b378a7c2b5c2edb10c26,venture,,2009-01-01,2009-01, 2009-Q1 ,2009.0," 10,000,000 ",
35093,/organization/innvotec-surgical,Innvotec Surgical,,,USA,CA,SF Bay Area,Brisbane,/funding-round/29ccc925116306b9289ba3ce4b22bcb1,venture,,2009-04-24,2009-04, 2009-Q2 ,2009.0," 1,000,000 ",
83240,/organization/zevez-payments,Zevez Corporation,|Software|,Software,USA,OR,"Portland, Oregon",Portland,/funding-round/0660f2ca926b90e211c37e696a6d6a57,debt_financing,,2010-10-26,2010-10, 2010-Q4 ,2010.0," 225,000 ",
27148,/organization/forge-life-science,Forge Life Science,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Doylestown,/funding-round/9f1990ddc68a906e373eb47c10e697a9,venture,,2014-01-22,2014-01, 2014-Q1 ,2014.0," 200,000 ",
53630,/organization/payoneer,Payoneer,|Finance|Internet|Mobile|Payments|E-Commerce|,E-Commerce,USA,NY,New York City,New York,/funding-round/c070a6ed069642229d93b9cd9f9301a2,venture,D,2014-03-05,2014-03, 2014-Q1 ,2014.0," 25,000,000 ",
41904,/organization/loungeup,LoungeUp,|Mobile|,Mobile,FRA,,Paris,Paris,/funding-round/d17528cd7ea9a2a09a6075fbb9f64dc5,seed,,2012-07-03,2012-07, 2012-Q3 ,2012.0,,
73344,/organization/thumbad,ThumbAd,|Auctions|Mobile|Advertising|,Auctions,NOR,,Oslo,Oslo,/funding-round/dec767bfde0ad525aaec09ec0d42766e,angel,,2013-05-31,2013-05, 2013-Q2 ,2013.0," 400,000 ",
71491,/organization/tarpon-towers,Tarpon Towers,|Messaging|,Messaging,USA,FL,Sarasota - Bradenton,Bradenton,/funding-round/67af14a771c2ee07ef16f7e19e2a2391,venture,,2009-06-09,2009-06, 2009-Q2 ,2009.0," 25,000,000 ",
83005,/organization/zenbox,Zenbox,|Bitcoin|Distribution|Finance Technology|,Bitcoin,,,,,/funding-round/859ce83f1914512c9e6950bf3a8b06c6,undisclosed,,2012-05-01,2012-05, 2012-Q2 ,2012.0,,
9842,/organization/bloxr,Bloxr,|Health and Wellness|,Health and Wellness,USA,UT,Salt Lake City,Salt Lake City,/funding-round/f8b125569739f4b1fa50d3e564463c43,debt_financing,,2013-11-12,2013-11, 2013-Q4 ,2013.0," 1,500,000 ",
22284,/organization/edgeware,Edgeware,|Hardware + Software|,Hardware + Software,SWE,,Stockholm,Stockholm,/funding-round/df4ebcf1ed0c822fddd4051bf8c43cbe,venture,B,2009-03-17,2009-03, 2009-Q1 ,2009.0," 8,000,000 ",
45550,/organization/mixaloo,Mixaloo,|Music|,Music,USA,NY,New York City,Poughkeepsie,/funding-round/fbaa311d1b997db5da05d0e07d91f213,seed,,2007-03-01,2007-03, 2007-Q1 ,2007.0,,
39162,/organization/kony,Kony,|Health Care|Enterprise Application|Android|iOS|Application Platforms|Field Support Services|CRM|Manufacturing|Financial Services|Software|Mobility|Enterprise Software|Sales and Marketing|Brand Marketing|Media|Finance|Banking|Retail|Hospitality|Travel|Mob,Health Care,USA,FL,Orlando,Orlando,/funding-round/0b050c319f3b4d0eb55eebd761309026,venture,A,2011-01-18,2011-01, 2011-Q1 ,2011.0," 20,000,000 ",
9064,/organization/biokier,BioKier,|Biotechnology|,Biotechnology,USA,NC,Raleigh,Chapel Hill,/funding-round/0e259409f92b6ef9c028190d7e152c6a,venture,,2011-08-31,2011-08, 2011-Q3 ,2011.0," 340,000 ",
77133,/organization/vantage-media,Vantage Media,|Advertising Platforms|Performance Marketing|Sales and Marketing|Internet Marketing|Auctions|Advertising|,Advertising Platforms,USA,CA,Los Angeles,El Segundo,/funding-round/d5caf8b0456763a9fce3cc90e2a0e9c5,venture,A,2007-02-28,2007-02, 2007-Q1 ,2007.0," 70,000,000 ",
19260,/organization/datasift,DataSift,|Big Data|Analytics|,Big Data,USA,CA,SF Bay Area,San Francisco,/funding-round/720f67e67bd6904fa89663f1e5beebdd,venture,A,2011-07-11,2011-07, 2011-Q3 ,2011.0," 6,000,000 ",
7505,/organization/backupagent,BackupAgent,|SaaS|Storage|Software|,SaaS,NLD,,The Hague,Delft,/funding-round/b274426b337e87bcd0079aa96a958722,venture,,2013-03-06,2013-03, 2013-Q1 ,2013.0," 2,000,000 ",
54508,/organization/phorent,PhoRent,|Collaborative Consumption|Social Commerce|Peer-to-Peer|E-Commerce|,E-Commerce,USA,CA,SF Bay Area,San Francisco,/funding-round/915d89ee54de87f62de934167c23d779,seed,,2013-04-17,2013-04, 2013-Q2 ,2013.0," 100,000 ",
19601,/organization/deep-imaging-technologies,Deep Imaging Technologies,|Manufacturing|,Manufacturing,USA,TX,Houston,Tomball,/funding-round/91620a13347493816b1efcc5ede78895,venture,,2013-10-17,2013-10, 2013-Q4 ,2013.0," 1,417,217 ",
80274,/organization/welltok,Welltok,|Health and Wellness|,Health and Wellness,USA,CO,Denver,Denver,/funding-round/c591e6165ea9ce54b498d808e9a94fd6,venture,B,2013-04-10,2013-04, 2013-Q2 ,2013.0," 18,700,000 ",
79031,/organization/vobi,Vobi,|File Sharing|Group SMS|Collaboration|Social Network Media|Video Conferencing|Mobile|,Group SMS,USA,TX,Austin,Austin,/funding-round/e997b336827d082688d2f18a26936a41,venture,A,2012-12-21,2012-12, 2012-Q4 ,2012.0," 1,500,000 ",
82825,/organization/zapa,Zapa,|Web Development|Mobile|,Web Development,IRL,,Dublin,Dublin,/funding-round/2f3ff71172fa4e4f98814e1d76bfb496,venture,A,2009-06-15,2009-06, 2009-Q2 ,2009.0," 3,462,500 ",
43810,/organization/mediaphy,MediaPhy,|Semiconductors|,Semiconductors,USA,CA,SF Bay Area,San Jose,/funding-round/32172130a77551ea278ab20551f73fea,venture,B,2006-03-24,2006-03, 2006-Q1 ,2006.0," 6,000,000 ",
64524,/organization/shipzi,Shipzi,|Shipping|Transportation|Network Security|E-Commerce|Cloud Computing|Software|,Software,USA,UT,Salt Lake City,Orem,/funding-round/285a2ca491110c6c2fdbdc8b13adf7eb,angel,,2012-10-01,2012-10, 2012-Q4 ,2012.0," 150,000 ",
76855,/organization/ushahidi,Ushahidi,|Open Source|Mobile Emergency&Health|Information Technology|Nonprofits|,Nonprofits,,,,,/funding-round/cf034d0514d9fd325f06e4eee97a31da,grant,,2009-08-01,2009-08, 2009-Q3 ,2009.0," 70,000 ",
11499,/organization/bullionvault,BullionVault,|Peer-to-Peer|Chemicals|Gold|Finance|,Peer-to-Peer,USA,NY,New York City,New York,/funding-round/605725fae786cabc990edadec979ec2a,venture,D,2010-06-01,2010-06, 2010-Q2 ,2010.0," 18,202,647 ",
83783,/organization/zvents,Zvents,|Nightlife|Music|Kids|Ticketing|Concerts|Entertainment|Restaurants|Events|Social Media|Curated Web|,Entertainment,USA,CA,SF Bay Area,San Mateo,/funding-round/e963e8d50822fba208f488ab67f356dd,venture,C,2011-09-30,2011-09, 2011-Q3 ,2011.0," 24,000,000 ",
21432,/organization/drumbi,drumbi,|Consumers|Enterprises|Social Media|Mobile|,Consumers,USA,CA,Anaheim,Irvine,/funding-round/c9ec564e586068ff405075169dd4840b,seed,,2011-08-16,2011-08, 2011-Q3 ,2011.0,,
55126,/organization/pixowl,Pixowl,|Games|,Games,USA,CA,SF Bay Area,San Francisco,/funding-round/419bf0a286d6b8158954361e00b91ad5,seed,,2012-09-01,2012-09, 2012-Q3 ,2012.0," 1,200,000 ",
49334,/organization/nextivity-2,Nextivity,|Network Security|Networking|Mobile|,Network Security,USA,CA,San Diego,San Diego,/funding-round/605e3bdecbbfe562015a3a172a0eea10,venture,,2011-11-16,2011-11, 2011-Q4 ,2011.0," 9,500,000 ",
9434,/organization/bitpass,BitPass,|Curated Web|,Curated Web,USA,CA,SF Bay Area,Mountain View,/funding-round/5dce4bca8289412e711b3d86396dda9d,venture,B,2004-09-01,2004-09, 2004-Q3 ,2004.0," 11,800,000 ",
40285,/organization/lensar,LensAR,|Health Care|,Health Care,USA,FL,Orlando,Orlando,/funding-round/e03a7ad9a1ca237bf8013317617943ee,venture,,2012-03-12,2012-03, 2012-Q1 ,2012.0," 24,000,000 ",
6586,/organization/aurin-biotech,Aurin Biotech,|Biotechnology|,Biotechnology,CAN,BC,Vancouver,Vancouver,/funding-round/7fbe82f4ff2af9625a19f81fe14f6769,angel,,2013-12-20,2013-12, 2013-Q4 ,2013.0,,
26565,/organization/flexuspine,Flexuspine,|Biotechnology|,Biotechnology,USA,PA,Pittsburgh,Pittsburgh,/funding-round/70884910b8585832e1d88467d4265e7f,debt_financing,,2012-09-27,2012-09, 2012-Q3 ,2012.0," 1,100,001 ",
42590,/organization/magma-hq,Magma HQ,|News|Publishing|Software|,News,DNK,,Copenhagen,Copenhagen,/funding-round/4d77fb2374bc97236089675ae51b4ffe,seed,,2011-06-01,2011-06, 2011-Q2 ,2011.0," 350,000 ",
58498,/organization/quill,Quill Content,|Content|News|,News,GBR,,London,London,/funding-round/b30a5406d5d9929b3aeb9e4be3b35a81,venture,,2014-03-10,2014-03, 2014-Q1 ,2014.0," 7,576,257 ",
19545,/organization/decisionview,DecisionView,|Software|,Software,USA,CA,SF Bay Area,San Francisco,/funding-round/91b40edaf77d3493e910eef2120d1fcc,venture,,2009-07-20,2009-07, 2009-Q3 ,2009.0," 600,000 ",
77546,/organization/venuemob,Venuemob,|Weddings|Music Venues|Events|Search|,Events,AUS,,Melbourne,Melbourne,/funding-round/731122cd92b06eefcf06b5628061ba49,angel,,2014-08-18,2014-08, 2014-Q3 ,2014.0," 530,000 ",
6738,/organization/autonet-mobile,Autonet Mobile,|Web Hosting|,Web Hosting,USA,CA,Monterey,Marina,/funding-round/56f42505677a81b621e5419a06384148,venture,,2011-03-31,2011-03, 2011-Q1 ,2011.0," 2,822,487 ",
76073,/organization/ubiterra,Ubiterra,|Oil & Gas|Cloud Infrastructure|,Oil & Gas,USA,CO,Denver,Denver,/funding-round/f49c9254c968becb7d4a80ed4a5dd530,undisclosed,,2013-09-14,2013-09, 2013-Q3 ,2013.0," 260,000 ",
58617,/organization/quri,Quri,|Business Services|Location Based Services|Point of Sale|Mobile|Analytics|Retail Technology|Crowdsourcing|Software|,Location Based Services,USA,CA,SF Bay Area,San Francisco,/funding-round/802fd25332aa24212e01a82c4ec73769,venture,A,2012-01-03,2012-01, 2012-Q1 ,2012.0," 4,275,735 ",
32092,/organization/hey,Heyday,|Local Businesses|,Local Businesses,USA,CA,SF Bay Area,San Francisco,/funding-round/ebb7f336dc286e460036234da4b0c7bd,venture,A,2014-01-03,2014-01, 2014-Q1 ,2014.0," 3,500,000 ",
77223,/organization/vascular-therapies,Vascular Therapies,|Biotechnology|,Biotechnology,USA,NJ,Newark,Cresskill,/funding-round/f5f1040fdb7fbddb670e16faaf0c88c3,debt_financing,,2011-04-25,2011-04, 2011-Q2 ,2011.0," 348,000 ",
47732,/organization/nakaya-microdevices,Nakaya Microdevices,|Semiconductors|,Semiconductors,,,,,/funding-round/a4bebe8581837e32569f2c2460a00069,venture,,2008-04-09,2008-04, 2008-Q2 ,2008.0," 14,360,000 ",
31204,/organization/hand-therapy-solutions,Hand Therapy Solutions,|Medical|,Medical,USA,VA,Richmond,Richmond,/funding-round/5dd24a8e48b5f435c20b383247d1dd61,equity_crowdfunding,,2011-12-22,2011-12, 2011-Q4 ,2011.0,,
58376,/organization/querium-corporation,Querium Corporation,|Education|,Education,USA,TX,Austin,Austin,/funding-round/b8b9dfb4626d8bb696419a8115a2bc7f,venture,,2013-06-10,2013-06, 2013-Q2 ,2013.0," 250,000 ",
19125,/organization/data-driven-delivery-system,Data Driven Delivery System,|Clean Technology|,Clean Technology,USA,NY,New York City,New York,/funding-round/8560c6859861934b3fac8e0b90712b82,venture,,2012-01-20,2012-01, 2012-Q1 ,2012.0," 1,575,000 ",
11279,/organization/broken-buy,Broken Buy,|Consumer Electronics|,Consumer Electronics,USA,WA,Seattle,Vancouver,/funding-round/03fd5ecb7ad3c2edca3fc2b8f5017a38,equity_crowdfunding,,2014-06-04,2014-06, 2014-Q2 ,2014.0," 20,000 ",
4017,/organization/amiho-technology,AMIHO Technology,|Home Automation|,Home Automation,GBR,,London,Cambridge,/funding-round/a5cf68e9bdb66b77229ca52d4a946413,undisclosed,,2013-11-06,2013-11, 2013-Q4 ,2013.0,,
26872,/organization/flycleaners,FlyCleaners,|Hospitality|Apps|Local Businesses|,Hospitality,USA,NY,New York City,New York,/funding-round/8656f9fed93148300babdeb307124ade,seed,,2013-12-17,2013-12, 2013-Q4 ,2013.0," 2,000,000 ",
63561,/organization/semasio,Semasio,|Advertising|,Advertising,DEU,,Hamburg,Hamburg,/funding-round/51fc7ecb71868dbf0d3ad21e1ce95720,venture,,2012-08-27,2012-08, 2012-Q3 ,2012.0,,
11628,/organization/buuteeq,buuteeq,|Hotels|Hospitality|Advertising|,Hotels,USA,WA,Seattle,Seattle,/funding-round/e580eab290c8129efa3b6de81c87f925,venture,B,2012-09-20,2012-09, 2012-Q3 ,2012.0," 10,000,000 ",
48617,/organization/netfective-technology,Netfective Technology,|Software|,Software,FRA,,Paris,Suresnes,/funding-round/a792bfa6163398fe0959f2af98bce651,venture,,2005-07-11,2005-07, 2005-Q3 ,2005.0," 845,000 ",
42615,/organization/magnitude-software,Magnitude Software,|Software|,Software,USA,TX,Austin,Austin,/funding-round/c0b51f5acae2731820b3a0f7620e1906,private_equity,,2014-09-24,2014-09, 2014-Q3 ,2014.0," 100,000,000 ",
20317,/organization/digital-loyalty-system,Digital Loyalty System,|Advertising|,Advertising,RUS,,Kazan,Kazan,/funding-round/7dbe432086713ffc7bfba1aa421d4bb3,venture,A,2012-06-01,2012-06, 2012-Q2 ,2012.0,,
5218,/organization/appvance,Appvance,|Software|,Software,USA,CA,SF Bay Area,San Jose,/funding-round/8fd3eadbb9947c076a133c7891b11ddb,venture,A,2014-03-15,2014-03, 2014-Q1 ,2014.0," 2,500,000 ",
53427,/organization/pathogenetix,Pathogenetix,|Biotechnology|,Biotechnology,USA,MA,Boston,Woburn,/funding-round/2bdea9387f45aa8671fb623deae22882,venture,B,2011-08-01,2011-08, 2011-Q3 ,2011.0," 4,000,000 ",
11652,/organization/buyou,Buyou,|Retail|Fashion|Shopping|iPad|Mobile|E-Commerce|,Fashion,USA,NY,New York City,New York,/funding-round/53ab85a181f639c7bd2a2bd98517e981,seed,,2012-11-01,2012-11, 2012-Q4 ,2012.0,,
4580,/organization/nitrocell-biosciences,AOBiome,|Biotechnology|,Biotechnology,USA,MA,Boston,Newton,/funding-round/65ff6d5e40b253cb2b4954c29819945d,venture,,2014-08-28,2014-08, 2014-Q3 ,2014.0," 576,513 ",
14843,/organization/clarus-systems,Clarus Systems,|Software|,Software,USA,CA,SF Bay Area,Redwood City,/funding-round/a82516df522fd53fd82c607f9a768698,venture,B,2006-10-31,2006-10, 2006-Q4 ,2006.0," 3,330,000 ",
64819,/organization/shozu,Shozu,|Mobile|,Mobile,GBR,,London,London,/funding-round/482161fb0029788e4650ca899a8db958,venture,B,2005-07-01,2005-07, 2005-Q3 ,2005.0," 12,000,000 ",
42322,/organization/lymbix,Lymbix,|Opinions|Analytics|,Analytics,CAN,ON,Moncton,Moncton,/funding-round/4b4308815e2d841855a5d91df465031c,seed,,2010-02-11,2010-02, 2010-Q1 ,2010.0," 236,484 ",
78780,/organization/vital-access,Vital Access,|Health Care|,Health Care,USA,UT,Salt Lake City,Salt Lake City,/funding-round/19718bef76e62cbf9b22209c919703ef,venture,B,2011-02-17,2011-02, 2011-Q1 ,2011.0," 3,600,000 ",
1408,/organization/actimize,Actimize,|Software|,Software,,,,,/funding-round/c0db824b7b19f9424bf52acafdcc7eb5,venture,A,2001-05-21,2001-05, 2001-Q2 ,2001.0," 4,000,000 ",
82276,/organization/yestodate-com,YESTODATE.COM,|Curated Web|,Curated Web,USA,FL,Miami,Miami,/funding-round/424c23bd54e75b77bc885af29dde4a30,seed,,2009-06-03,2009-06, 2009-Q2 ,2009.0," 1,000,000 ",
7933,/organization/bbva-ventures,BBVA Ventures,,,USA,CA,SF Bay Area,San Francisco,/funding-round/f5ae72eb11da864fd686243a665eab6e,venture,E,2014-11-24,2014-11, 2014-Q4 ,2014.0," 115,000,000 ",
82369,/organization/yobucko,YoBucko,|Education|Lead Generation|Financial Services|Personal Finance|Social Commerce|,Personal Finance,USA,VA,"Washington, D.C.",Arlington,/funding-round/39be14a31d1e141a8259582a7cf363c6,venture,,2011-06-20,2011-06, 2011-Q2 ,2011.0," 125,125 ",
12603,/organization/cardiovascular-systems,Cardiovascular Systems,|Medical Devices|Biotechnology|,Medical Devices,USA,MN,Minneapolis,Saint Paul,/funding-round/bb25195dd7493382c758d43829a96cc9,debt_financing,,2013-03-12,2013-03, 2013-Q1 ,2013.0," 13,500,000 ",
22841,/organization/elumen-solutions,Elumen Solutions,,,USA,OH,Cincinnati,Cincinnati,/funding-round/3558d5dfdd0698d7fa6a54be61ad441f,undisclosed,,1997-03-10,1997-03, 1997-Q1 ,1997.0,,
40394,/organization/levels-beyond,Levels Beyond,|Video|Digital Media|Software|,Video,USA,CO,Denver,Denver,/funding-round/54ee867b9dbdb53980e049f8b1455f18,venture,A,2013-01-17,2013-01, 2013-Q1 ,2013.0," 4,500,000 ",
38018,/organization/kanvas-labs,Kanvas Labs,|Lifestyle|Mobile|Photography|Photo Sharing|Social Media|,Photography,USA,NY,New York City,New York,/funding-round/ea232b9bf8daddbf0c3847ae25c324fe,angel,,2013-02-01,2013-02, 2013-Q1 ,2013.0,,
80874,/organization/winshuttle,Winshuttle,|Software|,Software,USA,WA,Seattle,Bothell,/funding-round/32f498ead691375fcf0062756aef0649,venture,,2010-09-14,2010-09, 2010-Q3 ,2010.0," 12,000,000 ",
52843,/organization/pagar-me,Pagar.me,|Software|,Software,BRA,,Sao Paulo,São Paulo,/funding-round/87f50d64911353636ae5869b6cb29602,seed,,2013-07-15,2013-07, 2013-Q3 ,2013.0,,
38493,/organization/kids-note,Kids Note,|Software|,Software,KOR,,Seoul,Seoul,/funding-round/02104e95dba85d43a18bb888702f599c,angel,,2012-07-10,2012-07, 2012-Q3 ,2012.0," 262,729 ",
80145,/organization/weeworld,WeeWorld,|Entertainment|Virtual Worlds|Social Games|Games|,Games,GBR,,Glasgow,Glasgow,/funding-round/65aea5556341d3e80f427f257cfa668b,venture,B,2006-01-01,2006-01, 2006-Q1 ,2006.0," 15,500,000 ",
33075,/organization/hygieia,HYGIEIA,|Biotechnology|,Biotechnology,USA,MI,Detroit,Ann Arbor,/funding-round/4d54d231de23838cb09fa0a58b73a7f0,debt_financing,,2011-07-29,2011-07, 2011-Q3 ,2011.0," 1,500,000 ",
27259,/organization/fotomoto,Fotomoto,|Photography|E-Commerce|,Photography,USA,CA,SF Bay Area,San Francisco,/funding-round/9e0c73919195ea9655e671fa93d0a014,venture,A,2009-08-19,2009-08, 2009-Q3 ,2009.0," 322,922 ",
26450,/organization/flashback-technologies,Flashback Technologies,|Medical Devices|,Medical Devices,USA,CO,Denver,Boulder,/funding-round/9d35e279308679937db7c7c2c3d29ee0,venture,A,2014-11-19,2014-11, 2014-Q4 ,2014.0," 2,086,376 ",
4653,/organization/apertus-pharmaceuticals,Apertus Pharmaceuticals,|Manufacturing|Developer APIs|Biotechnology|,Manufacturing,USA,MO,St. Louis,St Louis,/funding-round/8c8fce5980324b260996138c26e8c521,grant,,2011-01-01,2011-01, 2011-Q1 ,2011.0,,
31139,/organization/halfpops,HALFPOPS,|Hospitality|,Hospitality,USA,WA,Seattle,Woodinville,/funding-round/01685bd107eebf1c267b8f3b8bad3e25,private_equity,,2013-03-20,2013-03, 2013-Q1 ,2013.0,,
78998,/organization/vm-discovery,VM Discovery,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Fremont,/funding-round/9071584d0e12b1eeef5df018bb9aa487,venture,C,2014-07-23,2014-07, 2014-Q3 ,2014.0," 12,600,000 ",
3504,/organization/allozyne,Allozyne,|Biotechnology|,Biotechnology,USA,WA,Seattle,Seattle,/funding-round/3250151e1a670070634f5e10fd5ea15c,venture,B,2007-10-26,2007-10, 2007-Q4 ,2007.0," 30,000,000 ",
12418,/organization/capture-educational-consulting-services,Capture Educational Consulting Services,|Universities|Colleges|Charter Schools|Software|Online Scheduling|Education|,Charter Schools,USA,OH,"Columbus, Ohio",New Albany,/funding-round/25456dbb31db9eea02d46a7447a423b7,venture,A,2014-03-31,2014-03, 2014-Q1 ,2014.0," 1,200,000 ",
31718,/organization/healthspring,HealthSpring,|Hospitals|Biotechnology|,Hospitals,USA,TN,Nashville,Franklin,/funding-round/f744530cce618681192f6d9e334d0ef5,venture,B,2013-06-19,2013-06, 2013-Q2 ,2013.0," 3,700,000 ",
59640,/organization/redfin,Redfin,|Real Estate|,Real Estate,USA,WA,Seattle,Seattle,/funding-round/851c7ce7b1a566e0a3e8876fea39d36b,venture,F,2013-11-13,2013-11, 2013-Q4 ,2013.0," 50,000,000 ",
67172,/organization/solepower,SolePower,|Hardware + Software|,Hardware + Software,USA,PA,Pittsburgh,Pittsburgh,/funding-round/51d928e4a5149776f0658d373626fc93,seed,,2013-11-21,2013-11, 2013-Q4 ,2013.0,,
42084,/organization/ludi-labs,Ludi labs,,,,,,,/funding-round/a80737ae14de2bdae2b004bf4ddd265e,venture,B,2005-10-19,2005-10, 2005-Q4 ,2005.0,,
82560,/organization/youpic,YouPic,|Photography|,Photography,SWE,,Gothenburg,Gothenburg,/funding-round/f2b53976c3a3799b2db28204f6e8513e,seed,,2012-11-01,2012-11, 2012-Q4 ,2012.0," 150,000 ",
67457,/organization/sonicpollen,SonicPollen,|Music Venues|Ticketing|Events|Music|,Music,CHL,,Santiago,Viña Del Mar,/funding-round/0910cc9f11c3ee02818ab782d186d095,seed,,2013-01-01,2013-01, 2013-Q1 ,2013.0," 75,000 ",
24098,/organization/etaoi-systems-ltd,ETAOI Systems Ltd,|Software|Electronics|,Electronics,,,,,/funding-round/cd78f7cd79b837d10f7c0b8961ccb528,seed,,2014-07-01,2014-07, 2014-Q3 ,2014.0," 17,071 ",
58745,/organization/radial-network,Radial Network,|Advertising|,Advertising,USA,CT,Hartford,Branford,/funding-round/38150a9c28a70f98ca3925ed106964bf,venture,,2012-04-09,2012-04, 2012-Q2 ,2012.0," 3,400,000 ",
46993,/organization/mulesource,MuleSoft,|Business Intelligence|Data Integration|Enterprise Software|,Data Integration,USA,CA,SF Bay Area,San Francisco,/funding-round/5e70926ee1c2a12a10e3f16d88b99fd2,venture,C,2010-03-30,2010-03, 2010-Q1 ,2010.0," 12,000,000 ",
56151,/organization/power-analytics-corporation,Power Analytics Corporation,|Enterprise Software|Energy|Software|,Energy,USA,CA,San Diego,San Diego,/funding-round/b11bc786c17376ea766d786e83851491,venture,,2009-09-09,2009-09, 2009-Q3 ,2009.0," 384,180 ",
47148,/organization/mutualink,Mutualink,|Software|,Software,USA,CT,Hartford,Wallingford,/funding-round/769632db82633587b40796cefc9c9894,venture,,2012-03-19,2012-03, 2012-Q1 ,2012.0," 6,000,000 ",
46534,/organization/moontoast,Moontoast,|Communities|Networking|E-Commerce|Social Commerce|Analytics|Advertising|,E-Commerce,USA,CA,SF Bay Area,San Francisco,/funding-round/de15ebd5bfe58e7b2ad84f823bee80f3,venture,,2014-05-28,2014-05, 2014-Q2 ,2014.0," 1,718,631 ",
