,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_list,investor_market,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
103597,/organization/mallzee-com,Mallzee.com,|Advertising|Sales and Marketing|Mobile|Social Commerce|E-Commerce|Fashion|,E-Commerce,GBR,,Edinburgh,Edinburgh,/organization/kenny-fraser,Kenny Fraser,,,,,,,/funding-round/c97556d56015057927c679a3082aff0e,seed,,2014-05-22,2014-05,2014-Q2,2014," 843,412 "
50365,/organization/blue-cod-technologies,Blue Cod Technologies,|Software|,Software,USA,MA,Boston,Marlborough,/organization/edison-ventures,Edison Partners,|Venture Capital|,Venture Capital,USA,NJ,NJ - Other,Lawrenceville,/funding-round/d25ab6fc3fbf963c70384b279fc1739c,venture,,2011-07-05,2011-07,2011-Q3,2011," 3,000,000 "
6597,/organization/vivonet,Vivonet,|Point of Sale|SaaS|Technology|Software|,Point of Sale,CAN,BC,Burnaby,Burnaby,/organization/discovery-capital,Discovery Capital,,,CAN,BC,Vancouver,Vancouver,/funding-round/56c23f5f66498eaca93adc0138b6e244,venture,,2005-11-30,2005-11,2005-Q4,2005," 2,050,000 "
33984,/organization/skybox-security,Skybox Security,|Network Security|Security|,Network Security,USA,CA,SF Bay Area,San Jose,/organization/benchmark,Benchmark,|Finance|Venture Capital|,Venture Capital,USA,CA,SF Bay Area,San Francisco,/funding-round/e71adc01873581c9bd0bace3c40a1709,venture,D,2009-12-28,2009-12,2009-Q4,2009," 2,000,000 "
7797,/organization/mysql,MySQL,|Lighting|Open Source|Databases|Enterprise Software|,Databases,USA,CA,SF Bay Area,Cupertino,/organization/sap-ventures,Sapphire Ventures,|Venture Capital|,Venture Capital,USA,CA,SF Bay Area,Palo Alto,/funding-round/bba7c73c281022af7b9a9fe20596472b,venture,C,2006-02-01,2006-02,2006-Q1,2006," 18,500,000 "
69798,/organization/libboo,Libboo,|Finance|Writers|Publishing|Curated Web|,Finance,USA,MA,Boston,Boston,/person/dharmesh-shah,Dharmesh Shah,,,,,,,/funding-round/7f671731c088fdb2588bb670c9b969b4,seed,,2012-10-03,2012-10,2012-Q4,2012," 1,100,000 "
112450,/organization/mid-labs,MID Labs,|Health Care|Medical Devices|Medical|,Medical,USA,CA,SF Bay Area,San Leandro,/organization/frontline-bioventures,Frontline BioVentures,,,CHN,,Shanghai,Shanghai,/funding-round/2d1ea2f2117edb1da7d6449a4daa4e80,venture,,2014-10-16,2014-10,2014-Q4,2014," 51,000,000 "
113645,/organization/lockbox-2,Lockbox,|Consumers|,Consumers,DEU,,Berlin,Berlin,/organization/high-tech-gruenderfonds,High-Tech Gruenderfonds,,,DEU,,Bonn,Bonn,/funding-round/8acf88f6d23c1ff0344624533307d698,seed,,2014-11-11,2014-11,2014-Q4,2014,
20865,/organization/kindo-network,Kindo Network,|Web Hosting|,Web Hosting,GBR,,London,London,/organization/ambient-sound-investments,Ambient Sound Investments,,,EST,,Tallinn,Tallinn,/funding-round/4d7c5834f7755d3b03d036c8f207817d,seed,,2008-02-07,2008-02,2008-Q1,2008,
79892,/organization/bvi-networks,RetailNext,|Retail|Analytics|,Analytics,USA,CA,SF Bay Area,San Jose,/organization/nokia-growth-partners,Nokia Growth Partners,|Mobile Games|Mobile|Big Data Analytics|Advertising|Automotive|Mobile Enterprise|Local Commerce|,Mobile,USA,CA,SF Bay Area,Sunnyvale,/funding-round/67e0a9df98b8cd6a2c7bf6d28f5cb740,venture,C,2013-04-30,2013-04,2013-Q2,2013," 15,000,000 "
20806,/organization/liquid-machines,Liquid Machines,|Enterprise Software|,Enterprise Software,USA,MA,Boston,Waltham,/organization/draper-fisher-jurvetson,Draper Fisher Jurvetson (DFJ),|Venture Capital|,Venture Capital,USA,CA,SF Bay Area,Menlo Park,/funding-round/642f568c70dd964055d02da5df2d1742,venture,D,2008-02-04,2008-02,2008-Q1,2008," 10,000,000 "
12910,/organization/kankan,Xunlei,|Web Tools|Software|,Web Tools,CHN,,Shenzhen,Shenzhen,/organization/idg-capital-partners,IDG Capital Partners,|Venture Capital|Finance|,Finance,CHN,,Beijing,Beijing,/funding-round/1340031fa9bf2031336bf8a58a6a9dbd,venture,C,2007-01-01,2007-01,2007-Q1,2007,
8625,/organization/jingle-networks,Jingle Networks,|Advertising|Mobile|,Advertising,USA,NY,New York City,New York,/organization/liberty-associated-partners,Liberty Associated Partners,,,USA,PA,Philadelphia,Bala Cynwyd,/funding-round/ce95f9f033567175820b0e876e273c6c,venture,B,2006-04-01,2006-04,2006-Q2,2006," 26,000,000 "
87235,/organization/clinkle,Clinkle,|Payments|Finance|,Payments,USA,CA,SF Bay Area,San Francisco,/person/richard-branson,Richard Branson,,,,,,,/funding-round/9302b4035c683d5eb6d90283464cc477,seed,,2013-09-01,2013-09,2013-Q3,2013," 5,000,000 "
20900,/organization/lookery,Lookery,|Advertising|,Advertising,USA,CA,SF Bay Area,San Francisco,/person/robin-klein,Robin Klein,,,,,,,/funding-round/b5c3e8efeb18be7649c9a638d7133092,seed,,2008-02-07,2008-02,2008-Q1,2008," 900,000 "
27600,/organization/novaled,Novaled,|Clean Technology|,Clean Technology,DEU,,Dresden,Dresden,/organization/tudag,TUDAG,,,DEU,,Dresden,Dresden,/funding-round/b801c9e857da448072ddb62faa4b951d,venture,C,2009-01-17,2009-01,2009-Q1,2009," 14,849,130 "
41295,/organization/enbala-power-networks,ENBALA Power Networks,|Clean Technology|,Clean Technology,CAN,ON,Toronto,Toronto,/organization/edc-equity,EDC Equity,,,CAN,ON,Ottawa,Ottawa,/funding-round/5c99f412d58054191d85ff564effa546,venture,,2010-09-28,2010-09,2010-Q3,2010," 8,000,000 "
98640,/organization/sovi,Sovi,,,USA,CA,SF Bay Area,San Francisco,/organization/tumml,Tumml,|Apps|Startups|Incubators|Nonprofits|,Startups,USA,CA,SF Bay Area,San Francisco,/funding-round/e74a2f90b7216d6f0dd6fe50e8714e93,seed,,2014-03-01,2014-03,2014-Q1,2014," 20,000 "
54979,/organization/fondu,Fondu,|Reviews and Recommendations|Location Based Services|Curated Web|,Location Based Services,USA,NY,New York City,New York,/person/zach-aarons,Zach Aarons,,,,,,,/funding-round/5de344f66fb130dbb4ec3b35856c0bf8,seed,,2011-11-01,2011-11,2011-Q4,2011," 575,000 "
101930,/organization/algal-scientific,Algal Scientific,|Nutraceutical|Animal Feed|Water|Clean Technology|,Animal Feed,,,,,/organization/evonik-venture-capital-gmbh,Evonik Venture Capital GmbH,,,DEU,,Frankfurt,Hanau,/funding-round/a632995db4ddc3fd7b98f409aff8f945,venture,,2014-04-28,2014-04,2014-Q2,2014," 3,000,000 "
103532,/organization/truex-media,true[x] Media,|Non Profit|Charity|Weddings|Social Network Media|Social Media|Advertising|,Non Profit,USA,CA,Los Angeles,Los Angeles,/organization/norwest-venture-partners,Norwest Venture Partners - NVP,|Finance|,Finance,USA,CA,SF Bay Area,Palo Alto,/funding-round/37d93c1140b2ee410b681641beecd82f,venture,D,2014-05-21,2014-05,2014-Q2,2014," 6,000,000 "
54128,/organization/brandboards,BrandBoards,|Web Development|News|Advertising|,Advertising,USA,CA,SF Bay Area,Palo Alto,/organization/500-startups,500 Startups,|Startups|Finance|,Finance,USA,CA,SF Bay Area,Mountain View,/funding-round/06091df24e4d7b7ba49bdcb5e37067d2,seed,,2011-10-13,2011-10,2011-Q4,2011,
71079,/organization/pepperdata,Pepperdata,|Real Time|Technology|Software|,Software,USA,CA,SF Bay Area,Sunnyvale,/organization/morado-ventures-partners,Morado Venture Partners,,,USA,CA,SF Bay Area,Palo Alto,/funding-round/77a42316ebdb7a5af2b638457ff54066,seed,,2012-11-01,2012-11,2012-Q4,2012,
33032,/organization/outright,Outright,|Accounting|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Mountain View,/organization/felicis-ventures,Felicis Ventures,|Investment Management|,Investment Management,USA,CA,SF Bay Area,Palo Alto,/funding-round/fe66dda42f9da22cb1497046b2743bf8,venture,A,2009-11-18,2009-11,2009-Q4,2009," 5,500,000 "
35318,/organization/doodledeals-inc,DoodleDeals Inc.,|E-Commerce|Parenting|Curated Web|,Curated Web,USA,NY,New York City,New York,/person/kevin-fortuna,Kevin Fortuna,,,,,,,/funding-round/37964fe28753b4afdeff99b5ac5fea0c,venture,A,2010-02-01,2010-02,2010-Q1,2010," 1,270,000 "
41762,/organization/carwoo,CarWoo!,|Cars|Auto|Automotive|,Automotive,USA,CA,SF Bay Area,Burlingame,/organization/interwest-partners,InterWest Partners,,,USA,CA,SF Bay Area,Menlo Park,/funding-round/b70380f35957b50a66a3ac7c905c9801,venture,A,2010-10-13,2010-10,2010-Q4,2010," 4,500,000 "
13219,/organization/cloudmade,CloudMade,|Navigation|Machine Learning|Automotive|Maps|iPhone|Mobile|Location Based Services|,Navigation,USA,CA,SF Bay Area,Menlo Park,/person/nikolaj-nyholm,Nikolaj Nyholm,,,,,,,/funding-round/582b9424ea184614e2b93e86d654a434,seed,,2007-01-01,2007-01,2007-Q1,2007," 131,700 "
43548,/organization/valkee,Valkee,|Hardware + Software|,Hardware + Software,FIN,,Oulu,Oulu,/person/anssi-vanjoki,Anssi Vanjoki,,,,,,,/funding-round/8b2b4b416f34b15e62d351d40ab4140d,angel,,2010-12-15,2010-12,2010-Q4,2010," 534,400 "
92723,/organization/wildfang,Wildfang,|Fashion|,Fashion,USA,OR,"Portland, Oregon",Portland,/organization/base-vc,Base Ventures,|Venture Capital|,Venture Capital,USA,CA,SF Bay Area,Berkeley,/funding-round/84bfec165e894193ec886ff4091fc8fb,venture,,2013-11-27,2013-11,2013-Q4,2013," 1,975,000 "
61376,/organization/skout,Skout,|Social Network Media|Online Dating|Events|Chat|Social Media|,Social Media,USA,CA,SF Bay Area,San Francisco,/organization/andreessen-horowitz,Andreessen Horowitz,|Finance|Venture Capital|,Venture Capital,USA,CA,SF Bay Area,Menlo Park,/funding-round/de799c02509faa5b8e10376e1b454261,venture,,2012-04-03,2012-04,2012-Q2,2012," 22,000,000 "
102505,/organization/coin,Coin,|Mobile|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,San Francisco,/organization/redpoint-ventures,Redpoint Ventures,,,USA,CA,SF Bay Area,Menlo Park,/funding-round/083643be50fc270e90c2eab6537c0c2a,venture,A,2014-05-05,2014-05,2014-Q2,2014," 15,500,000 "
43854,/organization/shenzhen-7road-technology-co-ltd,7Road,|Games|,Games,CHN,,Shenzhen,Shenzhen,/organization/decent-capital,Decent Capital,,,,,,,/funding-round/a8f82fc5ba071a9391b88a1de9ea0f1a,venture,C,2011-01-01,2011-01,2011-Q1,2011,
28033,/organization/ce-info-systems,CE Info Systems,|Software|,Software,IND,,New Delhi,New Delhi,/organization/qualcomm-ventures,Qualcomm Ventures,,,USA,CA,San Diego,San Diego,/funding-round/d57117ddaccb125fd20820b29c58116f,venture,C,2009-02-15,2009-02,2009-Q1,2009," 9,000,000 "
25042,/organization/brightdoor-systems,BrightDoor Systems,|Internet|SaaS|Real Estate|,SaaS,USA,NC,Raleigh,Cary,/organization/wwc-capital-fund,Outcome Capital,,,USA,VA,"Washington, D.C.",Reston,/funding-round/cbe43002182ce0c96b9e1def291d6b1a,venture,,2008-09-01,2008-09,2008-Q3,2008," 2,000,000 "
83375,/organization/lucibel,Lucibel,|Security|Clean Technology|Lighting|Semiconductors|,Security,HKG,,Hong Kong,Hong Kong,/organization/cm-cic-capital-innovation,CM CIC Capital Innovation,,,,,,,/funding-round/498161f57e13d934a5dc523c319512d1,undisclosed,,2013-07-01,2013-07,2013-Q3,2013," 1,954,159 "
30775,/organization/astoria-software,Astoria Software,|Software|,Software,USA,CA,SF Bay Area,San Francisco,/organization/goldman-sachs,Goldman Sachs,|Finance|,Finance,USA,NY,New York City,New York,/funding-round/78d9469499b41203cf4b34d056530b84,undisclosed,,2009-07-28,2009-07,2009-Q3,2009,
15910,/organization/scribd,Scribd,|Publishing|E-Books|Social Media|File Sharing|News|,Publishing,USA,CA,SF Bay Area,San Francisco,/person/marc-andreessen,Marc Andreessen,,,,,,,/funding-round/7a65fabf64bb51b47e8abb20a33aa38f,venture,A,2007-06-01,2007-06,2007-Q2,2007," 3,710,000 "
15578,/organization/intechra-holdings,Intechra Holdings,|Computers|Services|Recycling|Electronics|,Electronics,USA,MS,Jackson,Ridgeland,/organization/chrysalis-ventures,Chrysalis Ventures,,,USA,TX,Houston,Houston,/funding-round/fc7363531c6e52a07120643e684048d6,venture,C,2007-05-23,2007-05,2007-Q2,2007," 30,000,000 "
51350,/organization/myntra,Myntra,|E-Commerce|,E-Commerce,IND,,Bangalore,Bangalore,/organization/tiger-global,Tiger Global Management,|Investment Management|,Investment Management,USA,NY,New York City,New York,/funding-round/20a34fbb678953eb8ac38f909691fd2d,venture,C,2011-08-01,2011-08,2011-Q3,2011," 20,750,000 "
2235,/organization/prospect-medical-holdings-inc,"Prospect Medical Holdings, Inc.",|Health and Wellness|,Health and Wellness,,,,,/organization/siemer-ventures,Wavemaker Partners,|Startups|Venture Capital|,Startups,USA,CA,Los Angeles,Santa Monica,/funding-round/e805a8f828c5937fa2f625509c14332c,undisclosed,,2004-04-01,2004-04,2004-Q2,2004,
86369,/organization/cluster,Cluster Labs,|Mobile|Photo Sharing|Photography|,Photography,USA,CA,SF Bay Area,San Francisco,/organization/sherpa-ventures,SherpaVentures,,,USA,CA,SF Bay Area,San Francisco,/funding-round/77bf49e248cb77cec2e09fae1a49c58d,seed,,2013-08-22,2013-08,2013-Q3,2013," 1,600,000 "
29486,/organization/medialets,Medialets,|Media|Mobile|Advertising|,Mobile,USA,NY,New York City,New York,/organization/dfj-gotham-ventures,DFJ Gotham Ventures,,,USA,NY,New York City,New York,/funding-round/5cd175ed2b1697c49ea13308b67b932d,venture,A,2009-05-12,2009-05,2009-Q2,2009," 4,000,000 "
30957,/organization/advanced-electron-beams,Advanced Electron Beams,|Clean Technology|,Clean Technology,USA,MA,Boston,Wilmington,/organization/general-catalyst-partners,General Catalyst Partners,,,USA,MA,Boston,Cambridge,/funding-round/0aa510b396eefc0501f3f91b8d977fb8,venture,C,2009-08-04,2009-08,2009-Q3,2009," 14,200,000 "
22482,/organization/turbine,Turbine,|Social Games|Games|,Games,USA,CA,SF Bay Area,Redwood City,/organization/polaris-partners,Polaris Partners,,,USA,MA,Boston,Waltham,/funding-round/ce413f3bad7df2a97ef79502db8381ec,venture,C,2008-04-29,2008-04,2008-Q2,2008," 40,000,000 "
99520,/organization/phunware,Phunware,|Consumer Electronics|Apps|Android|iPhone|Mobile|,Mobile,USA,CA,"Orange County, California",Tustin,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Software,USA,CA,SF Bay Area,San Jose,/funding-round/08e54a027a60fbad0c23daa525b1844a,venture,E,2014-03-18,2014-03,2014-Q1,2014," 30,000,000 "
58207,/organization/ybuy,ybuy,|Curated Web|,Curated Web,USA,CA,Los Angeles,Beverly Hills,/person/kevin-wall,Kevin Wall,,,,,,,/funding-round/d2b8c549d8dc1a7af6cf56096501e17d,seed,,2012-01-17,2012-01,2012-Q1,2012," 750,000 "
15557,/organization/metatomix,Metatomix,|Enterprise Software|,Enterprise Software,USA,MA,Boston,Dedham,/organization/apex-venture-partners,Apex Venture Partners,,,USA,IL,Chicago,Chicago,/funding-round/d28f0c4f33c2dcbae52fb81d68eabf3e,venture,B,2007-05-22,2007-05,2007-Q2,2007," 7,000,000 "
111509,/organization/houzz,Houzz,|Home Renovation|Design|Curated Web|,Curated Web,USA,CA,SF Bay Area,Palo Alto,/organization/dst-global,DST Global,|Software|,Software,GBR,,Surbiton,Surbiton,/funding-round/698a3ce63b2d3f9a12f100106160358a,venture,D,2014-10-01,2014-10,2014-Q4,2014," 165,000,000 "
75892,/organization/innovand,Innovand,,,CHL,,Santiago,Santiago,/organization/start-up-chile,Start-Up Chile,,,CHL,,Santiago,Santiago,/funding-round/971b493b182be89c3aec5839d3267677,seed,,2013-02-12,2013-02,2013-Q1,2013," 40,000 "
44862,/organization/chacha,ChaCha,|Search|Advertising|,Search,USA,CA,SF Bay Area,San Francisco,/organization/qualcomm-ventures,Qualcomm Ventures,,,USA,CA,San Diego,San Diego,/funding-round/6fde7b563194dcacc4da79aa9b4705ad,venture,,2011-01-19,2011-01,2011-Q1,2011," 3,000,000 "
77649,/organization/amiato,Amiato,|Analytics|,Analytics,USA,CA,SF Bay Area,Palo Alto,/organization/ignition-partners,Ignition Partners,,,USA,WA,Seattle,Bellevue,/funding-round/1b7494fda10b9296a4e6d5e81d9fcbe8,seed,,2013-03-15,2013-03,2013-Q1,2013," 2,000,000 "
36767,/organization/nexess,Nexess,|Security|,Security,FRA,,Nice,Mougins,/organization/cea-investments,CEA Investissement,,,,,,,/funding-round/d44f86b36327983fe9856aee3f5aae7a,venture,,2010-04-08,2010-04,2010-Q2,2010," 1,329,600 "
30000,/organization/yardbarker,Yardbarker Network,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/draper-fisher-jurvetson,Draper Fisher Jurvetson (DFJ),|Venture Capital|,Venture Capital,USA,CA,SF Bay Area,Menlo Park,/funding-round/92d8ebe407c6ac35b868f4aad6bb0470,venture,,2009-06-08,2009-06,2009-Q2,2009," 634,000 "
77299,/organization/tastemakerx,TastemakerX,|Content Discovery|Music|Mobile|Games|,Content Discovery,USA,CA,SF Bay Area,San Francisco,/organization/alara-capital,Alara Capital,,,USA,TX,Austin,Austin,/funding-round/c88a105100ad4e237a08aa09846b7ede,venture,B,2013-03-07,2013-03,2013-Q1,2013," 1,250,000 "
44202,/organization/trust-mico,Trust Mico,|Technology|Retail|Reviews and Recommendations|Mobile Commerce|E-Commerce|,Mobile Commerce,GBR,,Cardiff,Cardiff,/person/company-directors,Company Directors,,,,,,,/funding-round/3f520a210c61972340e7e41be78dae55,seed,,2011-01-01,2011-01,2011-Q1,2011," 310,473 "
79152,/organization/tynker,Tynker,|Education|,Education,USA,CA,SF Bay Area,Mountain View,/organization/cervin-ventures,Cervin Ventures,,,USA,CA,SF Bay Area,Newark,/funding-round/877b2f7326e9e771a5e0deec1d112d82,venture,,2013-04-11,2013-04,2013-Q2,2013," 3,250,000 "
68077,/organization/likez,Likez,,,,,,,/organization/fenox-it,Fenox IT,|Investment Management|Information Technology|,Information Technology,BLR,,Minsk,Minsk,/funding-round/5dcb6b9057b10f49e43c0525d9b51ed5,seed,,2012-09-01,2012-09,2012-Q3,2012," 20,000 "
25340,/organization/crossloop,CrossLoop,|Training|Collaboration|Curated Web|,Curated Web,USA,CA,Los Angeles,Monterey Park,/organization/venrock,Venrock,,,USA,CA,SF Bay Area,Palo Alto,/funding-round/0756e984feeb616dc13adbf0e84902f3,venture,B,2008-09-15,2008-09,2008-Q3,2008," 6,000,000 "
21090,/organization/safend,Safend,|Enterprise Software|,Enterprise Software,ISR,,Tel Aviv,Tel Aviv,/organization/waldenvc,Walden Venture Capital,,,USA,CA,SF Bay Area,San Francisco,/funding-round/d5e9b3a3ad0eb127f1ca792b6bf590fe,venture,C,2008-02-19,2008-02,2008-Q1,2008," 9,000,000 "
45679,/organization/solvate-com,Solvate,|Curated Web|,Curated Web,USA,NY,New York City,New York,/organization/dfj-gotham-ventures,DFJ Gotham Ventures,,,USA,NY,New York City,New York,/funding-round/35722e3b837bb93df562f89a3ff3696a,venture,B,2011-02-16,2011-02,2011-Q1,2011," 4,000,000 "
2559,/organization/simply-hired,Simply Hired,|Search|,Search,USA,CA,SF Bay Area,Sunnyvale,/person/peter-weck,Peter Weck,,,,,,,/funding-round/b7243da6c0c15f891121f5699e3a7745,venture,A,2004-10-01,2004-10,2004-Q4,2004," 1,200,000 "
111398,/organization/spor-chargers,Spor Chargers,|Retail|,Retail,USA,PA,Philadelphia,Philadelphia,/person/francis-wisniewski,Francis Wisniewski,,,,,,,/funding-round/f725ea0320cd926a20b3d9cda8995163,angel,,2014-09-29,2014-09,2014-Q3,2014," 200,000 "
6739,/organization/allozyne,Allozyne,|Biotechnology|,Biotechnology,USA,WA,Seattle,Seattle,/organization/arch-venture-partners,ARCH Venture Partners,,,USA,IL,Chicago,Chicago,/funding-round/1fd1c66243637590045eab32b223fe20,venture,A,2005-12-06,2005-12,2005-Q4,2005," 3,500,000 "
39919,/organization/startwire,StartWire,|Collaboration|Social Media|Consumers|Recruiting|Search|Curated Web|,Collaboration,USA,NH,"Manchester, New Hampshire",Lebanon,/person/steve-pogorzelski,Steve Pogorzelski,,,,,,,/funding-round/4f0221316214f1b83c1b1b118997d5c8,seed,,2010-08-06,2010-08,2010-Q3,2010," 750,000 "
3027,/organization/bluesocket,Bluesocket,|Mobile|,Mobile,USA,MA,Boston,Burlington,/organization/ascent-venture-partners,Ascent Venture Partners,,,USA,MA,Boston,Boston,/funding-round/a44bbee3f59850afb38e6ae1b7622e17,venture,B,2005-01-17,2005-01,2005-Q1,2005," 10,000,000 "
75060,/organization/olo,Olo,|Restaurants|Technology|E-Commerce|,Restaurants,USA,NY,New York City,New York,/person/david-frankel-3,David Frankel,,,,,,,/funding-round/60772e5103d4a16127278cac00a30bcc,venture,B,2013-01-24,2013-01,2013-Q1,2013," 5,000,000 "
25681,/organization/crocus-technology,Crocus Technology,|Semiconductors|Clean Technology|,Clean Technology,USA,CA,SF Bay Area,Santa Clara,/organization/cdc-innovation,Innovation Capital,,,FRA,,Paris,Paris,/funding-round/6f0350e4b1e29a17c981910c0904f88f,venture,B,2008-10-03,2008-10,2008-Q4,2008," 15,909,100 "
25867,/organization/movidius,Movidius,|Software|Semiconductors|,Semiconductors,USA,CA,SF Bay Area,San Mateo,/organization/capital-e,Capital-E,,,USA,DC,"Washington, D.C.",Washington,/funding-round/b24dbea12cd3e6944efbe736a08351bb,venture,A,2008-10-17,2008-10,2008-Q4,2008," 14,000,000 "
11851,/organization/datango,datango,|Software|,Software,DEU,,Berlin,Berlin,/organization/atlas-venture,Atlas Venture,|Life Sciences|Technology|,Technology,USA,MA,Boston,Cambridge,/funding-round/28daae35f5f4b53251c31e2f5eed1857,venture,B,2006-11-01,2006-11,2006-Q4,2006," 2,650,000 "
110581,/organization/envoy,Envoy,|Software|,Software,USA,CA,SF Bay Area,San Francisco,/person/alexis-ohanian,Alexis Ohanian,,,,,,,/funding-round/8bea207b690d37e7fc2972a093c5db52,seed,,2014-09-16,2014-09,2014-Q3,2014," 1,500,000 "
76213,/organization/simple-energy,Simple Energy,|Finance|Networking|Facebook Applications|Internet|Green|Energy Efficiency|Clean Energy|Clean Technology|Analytics|,Green,USA,CO,Denver,Boulder,/organization/vision-ridge-partners,Vision Ridge Partners,,,USA,CO,Denver,Boulder,/funding-round/fec7faf36d1f65dfab0ab4c0b67b43c9,venture,A,2013-02-19,2013-02,2013-Q1,2013," 2,016,500 "
94387,/organization/futubank,Futubank,,,RUS,,Moscow,Moscow,/person/pavel-kovsharov,Pavel Kovsharov,,,,,,,/funding-round/50cae8e98823644ce3952cb339aaa3e3,seed,,2013-12-23,2013-12,2013-Q4,2013," 300,000 "
42050,/organization/signpost,Signpost,|CRM|SaaS|Marketing Automation|Local|Software|,CRM,USA,NY,New York City,New York,/organization/google-ventures,Google Ventures,|Venture Capital|Finance|,Finance,USA,CA,SF Bay Area,Mountain View,/funding-round/c3991ac858fb0d57d5c4d15012b2c64d,venture,,2010-10-25,2010-10,2010-Q4,2010," 1,250,000 "
14774,/organization/radius-health,Radius Health,|Biotechnology|,Biotechnology,USA,MA,Boston,Cambridge,/organization/oxford-bioscience-partners,Oxford Bioscience Partners,,,USA,MA,Boston,Boston,/funding-round/4d2ba3570c9b73841db42244ba458245,venture,B,2007-04-02,2007-04,2007-Q2,2007," 57,500,000 "
109336,/organization/korbit,Korbit,|Bitcoin|Finance|,Bitcoin,KOR,,Seoul,Seoul,/organization/pantera-capital,Pantera Capital,,,USA,CA,SF Bay Area,San Francisco,/funding-round/507d3ef76791c7991be313b729d04096,venture,A,2014-08-25,2014-08,2014-Q3,2014," 3,000,000 "
55131,/organization/prt-dunion,Prêt d’Union,|Finance|,Finance,FRA,,Paris,Issy-les-moulineaux,/organization/kima-ventures,Kima Ventures,,,FRA,,Paris,Paris,/funding-round/a83d005bd82aaf5459cd0c5d24aac3dc,venture,B,2011-11-07,2011-11,2011-Q4,2011," 5,221,960 "
109557,/organization/coordi-care-s,Coordi-Care’s,|Information Technology|Health Care|Software|,Software,,,,,/organization/health-wildcatters,Health Wildcatters,|Startups|Finance|,Startups,USA,TX,Dallas,Dallas,/funding-round/ebdf19c8e72e8cae29809936e3641329,seed,,2014-08-28,2014-08,2014-Q3,2014," 30,000 "
24499,/organization/centrix-2,Centrix,,,JPN,,Tokyo,Tokyo,/organization/mobile-internet-capital,Mobile Internet Capital,,,JPN,,Tokyo,Tokyo,/funding-round/335846a984b5c3a31b143c5c44052535,undisclosed,,2008-08-01,2008-08,2008-Q3,2008,
24110,/organization/corefino,Corefino,|Software|,Software,USA,CA,SF Bay Area,Sunnyvale,/organization/opus-capital,Opus Capital,,,USA,CA,SF Bay Area,Menlo Park,/funding-round/591b4c50af423b50a24de24afaf1a98a,venture,A,2008-07-08,2008-07,2008-Q3,2008," 13,600,000 "
11881,/organization/datango,datango,|Software|,Software,DEU,,Berlin,Berlin,/organization/hasso-plattner-ventures,Hasso Plattner Ventures,|Venture Capital|,Venture Capital,DEU,,Berlin,Potsdam,/funding-round/28daae35f5f4b53251c31e2f5eed1857,venture,B,2006-11-01,2006-11,2006-Q4,2006," 2,650,000 "
8852,/organization/rakuten,Rakuten,|Travel|World Domination|E-Commerce|Curated Web|,Travel,JPN,,Tokyo,Tokyo,/organization/intel-capital,Intel Capital,|Investment Management|,Investment Management,USA,CA,SF Bay Area,Santa Clara,/funding-round/c25ce4f531a408dc37949f45b2d5f150,venture,,2006-04-18,2006-04,2006-Q2,2006," 42,400,000 "
94215,/organization/7summits,7Summits,|Semantic Search|SEO|Communities|Brand Marketing|Consulting|,SEO,USA,WI,Milwaukee,Milwaukee,/organization/sverica-international,Sverica International,,,USA,MA,Boston,Boston,/funding-round/50bf6f13001ed72662ca59f9fec58321,undisclosed,,2013-12-19,2013-12,2013-Q4,2013,
84610,/organization/datastax,DataStax,|Big Data|Databases|,Big Data,USA,CA,SF Bay Area,Santa Clara,/organization/crosslink-capital,Crosslink Capital,,,USA,CA,SF Bay Area,San Francisco,/funding-round/534221e53c8627181af6263664c2995d,venture,D,2013-07-23,2013-07,2013-Q3,2013," 45,000,000 "
55764,/organization/unbounce,Unbounce,|SaaS|Internet Marketing|Lead Generation|Optimization|Web Design|Advertising|,Internet Marketing,CAN,BC,Vancouver,Vancouver,/organization/atlas-venture,Atlas Venture,|Life Sciences|Technology|,Technology,USA,MA,Boston,Cambridge,/funding-round/3d48d64e1f3da1ef2b06c640f70952b0,venture,,2011-12-01,2011-12,2011-Q4,2011," 850,000 "
392,/organization/mobile-automation-2,Mobile Automation,|Enterprise Software|,Enterprise Software,USA,CA,Los Angeles,Westlake Village,/organization/greylock,Greylock Partners,|Finance|,Finance,USA,CA,SF Bay Area,Menlo Park,/funding-round/821a901f9f3755a9ca3eaeef33085488,venture,B,1999-08-31,1999-08,1999-Q3,1999," 2,500,000 "
102759,/organization/liquidplanner,LiquidPlanner,|Task Management|SaaS|Career Planning|Online Scheduling|Project Management|Enterprise Software|,Enterprise Software,USA,WA,Seattle,Seattle,/organization/tvc-capital,TVC Capital,,,USA,CA,San Diego,San Diego,/funding-round/862685797b22117076a99013cf5e3f7e,venture,B,2014-05-08,2014-05,2014-Q2,2014," 8,000,000 "
