,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_list,investor_market,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
19722,/organization/inphase-technologies,InPhase Technologies,|Hardware|Storage|Web Hosting|,Web Hosting,USA,CO,Denver,Longmont,/organization/bayer-materialscience,Bayer Material Science,,,DEU,,Leverkusen,Leverkusen,/funding-round/8300113117348bc942f68f8bc4cf45fb,venture,D,2008-01-01,2008-01,2008-Q1,2008," 20,000,000 "
49349,/organization/pch-international,PCH International,|Hardware + Software|,Hardware + Software,IRL,,Cork,Cork,/organization/norwest-venture-partners,Norwest Venture Partners - NVP,|Finance|,Finance,USA,CA,SF Bay Area,Palo Alto,/funding-round/e64734835a50726dc39156142b767999,venture,C,2011-06-07,2011-06,2011-Q2,2011," 30,000,000 "
75579,/organization/upstream-commerce,Upstream Commerce,|Analytics|,Analytics,USA,TX,Austin,Austin,/organization/bright-capital,Bright Capital,,,RUS,,Moscow,Moscow,/funding-round/a3a40dca2dae49f4ae734e928156477d,venture,,2013-02-05,2013-02,2013-Q1,2013," 3,000,000 "
38525,/organization/everyday-solutions,Everyday Solutions,|Mobile|,Mobile,USA,MA,Boston,Concord,/organization/fontinalis-partners,Fontinalis Partners,,,USA,MI,Detroit,Detroit,/funding-round/3ff8231b7245605573d90d3329321f27,venture,,2010-06-18,2010-06,2010-Q2,2010," 2,809,010 "
85051,/organization/sayduck,Sayduck,|3D|Augmented Reality|Mobile Commerce|Mobile|,3D,,,,,/person/martin-michlmayr,Martin Michlmayr,,,,,,,/funding-round/7277b5b731189c79192617f7ead10823,seed,,2013-07-30,2013-07,2013-Q3,2013," 500,000 "
2569,/organization/firefly-energy,Firefly Energy,|Batteries|Clean Technology|,Batteries,USA,IL,Peoria,Peoria Heights,/organization/united-defense-l-p,"United Defense, L.P.",,,USA,VA,"Washington, D.C.",Arlington,/funding-round/d65cba60f32dcf9f89a5aa66bff7f28d,venture,A,2004-10-14,2004-10,2004-Q4,2004," 4,000,000 "
44883,/organization/flat-world-knowledge,Flat World Education,|SaaS|Colleges|Textbooks|,SaaS,USA,DC,"Washington, D.C.",Washington,/organization/valhalla-partners,Valhalla Partners,,,USA,VA,"Washington, D.C.",Vienna,/funding-round/82609be3028ee9cd8ca1e2363e72d7a0,venture,B,2011-01-20,2011-01,2011-Q1,2011," 15,000,000 "
34378,/organization/healthtap,HealthTap,|Health Care|Mobile Health|mHealth|Doctors|Physicians|Games|Health and Wellness|,Health Care,USA,CA,SF Bay Area,Palo Alto,/person/gil-penchina,Gil Penchina,,,,,,,/funding-round/517bd92f7751fa9ab67207c99b918951,angel,,2010-01-01,2010-01,2010-Q1,2010,
20410,/organization/protagen,Protagen,|Software|,Software,DEU,,Dortmund,Dortmund,/organization/s-capital-dortmund,S-Venture Capital Dortmund,,,DEU,,DEU - Other,Deutsch,/funding-round/47ad12e747b8d9233cc05eaf7576bde2,venture,,2008-01-15,2008-01,2008-Q1,2008," 1,488,600 "
56274,/organization/pjd-group,PJD Group,|Manufacturing|,Manufacturing,GBR,,Derby,Derby,/organization/ldc,LDC,,,GBR,,London,London,/funding-round/003e3c691a69a745e750fdeefe573ecb,undisclosed,,2011-12-09,2011-12,2011-Q4,2011,
65258,/organization/jymob,Jymob,|Recruiting|,Recruiting,,,,,/organization/alchemist-accelerator,Alchemist Accelerator,|Services|Enterprises|Education|,Services,USA,CA,SF Bay Area,Menlo Park,/funding-round/34123802076f40f2b8f497a0dc4ebbb1,seed,,2012-07-01,2012-07,2012-Q3,2012," 28,000 "
82097,/organization/whistle,Whistle,|Internet of Things|Hardware + Software|Technology|Pets|,Technology,USA,CA,SF Bay Area,San Francisco,/organization/m7-tech-partners-llc,Melo7 Tech Partners,,,USA,NY,New York City,New York,/funding-round/7f6a8ade201a3f2c101cd4ace76ae0ee,venture,A,2013-06-05,2013-06,2013-Q2,2013," 6,000,000 "
87374,/organization/zeomega,ZeOmega,|Biotechnology|,Biotechnology,USA,TX,Dallas,Frisco,/organization/bluecross-blueshield-venture-partners,BlueCross BlueShield Venture Partners,,,USA,IL,Chicago,Chicago,/funding-round/b49c50fcb401d5bf829943686b2219b5,private_equity,,2013-09-04,2013-09,2013-Q3,2013," 21,500,000 "
91278,/organization/continuum-rehabilitation,Continuum Rehabilitation,|Health and Wellness|,Health and Wellness,USA,CT,Hartford,Avon,/organization/colchester-capital,Colchester Capital,,,USA,NJ,Newark,Summit,/funding-round/9125ce7bef187ac1b3493a78912729ad,venture,A,2013-11-04,2013-11,2013-Q4,2013,
73127,/organization/noom,Noom,|Software|Startups|Apps|Mobile|Android|Technology|Exercise|Fitness|Health and Wellness|,Software,USA,NY,New York City,New York,/organization/m8-capital,m8 Capital,,,GBR,,London,London,/funding-round/02ba3e1a64d0b087c0644db4477af164,venture,,2012-12-18,2012-12,2012-Q4,2012," 2,612,517 "
2118,/organization/alibaba,Alibaba,|E-Commerce|,E-Commerce,CHN,,Hangzhou,Hangzhou,/organization/fidelity-growth-partners-asia,Fidelity Growth Partners Asia,,,CHN,,Beijing,Beijing,/funding-round/1feb081721162822dc468cdfe0ee5844,private_equity,,2004-02-01,2004-02,2004-Q1,2004," 82,000,000 "
86883,/organization/captnsocial,Capt'nSocial,,,,,,,/organization/eleven,Eleven,|Finance|Startups|,Startups,BGR,,Sofia,Sofia,/funding-round/158ee9950306ab72a586391ce10917af,seed,,2013-09-01,2013-09,2013-Q3,2013," 32,165 "
51323,/organization/shangpin,ShangPin,|E-Commerce|,E-Commerce,,,,,/organization/steamboat-ventures,Steamboat Ventures,,,USA,CA,Los Angeles,Burbank,/funding-round/dd44ec58cfe21ed4e1e2f793c173d784,venture,C,2011-08-01,2011-08,2011-Q3,2011," 50,000,000 "
66712,/organization/vayyar,Vayyar,,,,,,,/organization/amiti-ventures,Amiti Ventures,|Venture Capital|,Venture Capital,USA,IL,Chicago,Chicago,/funding-round/233e14b5c7a672700e2a74ab07430c95,venture,,2012-08-01,2012-08,2012-Q3,2012," 12,000,000 "
