,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
562,/organization/algeta,Algeta,|Biotechnology|,Biotechnology,NOR,,Oslo,Oslo,/organization/bayer-ag-germany,Bayer AG,|Pharmaceuticals|Biotechnology|,Pharmaceuticals,DEU,,Leverkusen,Leverkusen,2013-12-19,2013-12,2013-Q4,2013.0," 2,900,000,000 ",USD
44785,,,,,,,,,,,,,,,,,,,,,,
13786,,,,,,,,,,,,,,,,,,,,,,
16756,,,,,,,,,,,,,,,,,,,,,,
47920,,,,,,,,,,,,,,,,,,,,,,
40722,,,,,,,,,,,,,,,,,,,,,,
38190,,,,,,,,,,,,,,,,,,,,,,
26730,,,,,,,,,,,,,,,,,,,,,,
2243,/organization/chillingo,Chillingo,|Games|,Games,GBR,,Macclesfield,Macclesfield,/organization/electronicarts,Electronic Arts,|Entertainment|Games|,Entertainment,USA,CA,SF Bay Area,Redwood City,2010-10-01,2010-10,2010-Q4,2010.0," 20,000,000 ",USD
6467,/organization/level-one-communications,Level One Communications,|Semiconductors|,Semiconductors,USA,CA,Sacramento,Sacramento,/organization/intel,Intel,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Santa Clara,1999-03-08,1999-03,1999-Q1,1999.0,,USD
21287,,,,,,,,,,,,,,,,,,,,,,
15639,,,,,,,,,,,,,,,,,,,,,,
51030,,,,,,,,,,,,,,,,,,,,,,
15207,,,,,,,,,,,,,,,,,,,,,,
13760,,,,,,,,,,,,,,,,,,,,,,
27173,,,,,,,,,,,,,,,,,,,,,,
54409,,,,,,,,,,,,,,,,,,,,,,
39200,,,,,,,,,,,,,,,,,,,,,,
14513,,,,,,,,,,,,,,,,,,,,,,
35270,,,,,,,,,,,,,,,,,,,,,,
14729,,,,,,,,,,,,,,,,,,,,,,
26342,,,,,,,,,,,,,,,,,,,,,,
16807,,,,,,,,,,,,,,,,,,,,,,
6780,/organization/macnotes,MACNOTES,|Curated Web|,Curated Web,,,,,/organization/fliks-gmbh,Fliks,|Curated Web|,Curated Web,DEU,,Bochum,Bochum,2008-06-01,2008-06,2008-Q2,2008.0,,EUR
26200,,,,,,,,,,,,,,,,,,,,,,
12107,/organization/ust-inc,UST Inc,,,USA,CT,Hartford,Stamford,/organization/altria,Altria,,,USA,VA,Richmond,Richmond,2008-09-01,2008-09,2008-Q3,2008.0, 11 ,USD
47736,,,,,,,,,,,,,,,,,,,,,,
44421,,,,,,,,,,,,,,,,,,,,,,
17797,,,,,,,,,,,,,,,,,,,,,,
12865,/organization/xpeerient,xPeerient,|Software|,Software,USA,MA,Boston,Boston,/organization/net-net,NET(net),,,USA,MI,Grand Rapids,Holland,2013-06-20,2013-06,2013-Q2,2013.0,,USD
15229,,,,,,,,,,,,,,,,,,,,,,
7045,/organization/medxt,MedXT,|Health and Wellness|Health Care Information Technology|Health Care|,Health and Wellness,USA,CA,SF Bay Area,San Francisco,/organization/box,Box,|SaaS|Cloud Computing|Storage|Flash Storage|File Sharing|Web Hosting|,File Sharing,USA,CA,SF Bay Area,Los Altos,2014-10-09,2014-10,2014-Q4,2014.0,,USD
6963,/organization/mdvip,MDVIP,|Health Services Industry|Doctors|Online Scheduling|Health and Wellness|,Doctors,USA,FL,Palm Beaches,Boca Raton,/organization/summit-partners,Summit Partners,,,USA,MA,Boston,Boston,2014-05-02,2014-05,2014-Q2,2014.0,,USD
42842,,,,,,,,,,,,,,,,,,,,,,
5054,/organization/hansen-corporation,Hansen Corporation,,,USA,IN,IN - Other,Princeton,/organization/electrocraft,ElectroCraft,,,USA,NH,"Manchester, New Hampshire",Dover,2014-07-01,2014-07,2014-Q3,2014.0,,USD
17978,,,,,,,,,,,,,,,,,,,,,,
5557,/organization/infinitybox,Infinity Box,|Lead Generation|Payments|Polling|Surveys|Curated Web|,Payments,USA,FL,Tampa,Tampa,/organization/surveymonkey,SurveyMonkey,|Surveys|Software|,Software,USA,CA,SF Bay Area,Palo Alto,2011-04-25,2011-04,2011-Q2,2011.0," 35,000,000 ",USD
38471,,,,,,,,,,,,,,,,,,,,,,
31639,,,,,,,,,,,,,,,,,,,,,,
32599,,,,,,,,,,,,,,,,,,,,,,
50222,,,,,,,,,,,,,,,,,,,,,,
33652,,,,,,,,,,,,,,,,,,,,,,
